A0.	Creator.
J1280.	Repartee with ruler (judge, etc.).
J1281.	"If I were a tyrant you would not say so."
J1282.	Trickster chooses his gift.
J1283.	Gifts from the brothers.
J1284.	Do not leave it to your successor.
J1284.1.	Show me how it is done.
J1284.2.	Cease being a king.
J1285.	Against his will.
J1286.	His proper title.
J1289.	Repartee with ruler (judge, etc.
J1289.1.	Not a locksmith.
J1289.2.	Bishop and prince.
J1289.3.	Will not try to correct them.
J1289.4.	The needy philosopher.
J1289.5.	Wearing all his clothes.
J1289.6.	The prince's excuse.
J1289.7.	Shoemaker speaks ill of lord's rule.
J1289.8.	One ear saved for other litigant.
J1289.9.	Seek harmony in your own house.
J1289.10.	King cannot destroy the city.
J1289.11.	Man, fined for sabbath-breaking, asks for receipt,
J1289.12.	Man is arrested for drunkenness;
J1289.13.	Weaver hearing of tax for every doorway of weavers takes his door to the khan: will not return for the sidewalls of his house.
J1289.14.	Gem offered by monarch to one who can first go around the kingdom.
J1289.15.	Thief serves king buffaloes he has killed in hunt and lost;
J1289.16.	Hairless palms from giving and receiving gold.
J1289.17.	Emperor: "What people have the biggest bellies?" Jester answers: "The landlords."
J1289.18.	Holy man asked by king for the heart of religion answers: "You are sitting on your throne and I'm sitting on the ground, so how can I tell."
J1289.19.	Tailor caught resting his head on royal robe while he rests tells king there is no better resting place for king's robe, for "the head is the king of the body."
J1289.20.	King to smoker: "Even donkeys will have nothing to do with tobacco."
J1290.	Reductio ad absurdum of question or proposal.
J1291.	Question answered by absurd counterquestion.
J1291.1.	Black beans, white soup.
J1291.1.1.	Why is it that black cow eats green grass, gives white milk and yellow butter?
J1291.2.	Theological questions answered by propounding simple questions in science.
J1291.3.	How many priests should one have in one place?
J1291.3.1.	How much cloth would it take to make God's coat?
J1291.4.	"In this sesame flower where is the oil?"
J1292.	Tide inquires whether moon is up.
J1293.	Reductio ad absurdum of proposal.
J1293.1.	Little bird as large bird's mate.
J1293.1.1.	Absurdity: sea (river) is on fire.
J1293.2.	If his head is taken off other punishments do not matter.
J1293.3.	Turning king into Brahmin like turning donkey into horse.
J1293.4.	Pot full of milk as sign that city is full of fakirs;
J1293.5.	All appurtenances included.
J1300.	Officiousness or foolish questions rebuked
J1301.	How he shall be mourned.
J1302.	The overloaded mule.
J1303.	Aesop with the lantern.
J1304.	Why the black clothes.
J1305.	How the tail pointed.
J1306.	How marriage was consummated.
J1309.	Officiousness or foolish questions rebuked--miscellaneous.
J1309.1.	Man asks naked Indian if he is not cold.
J1309.2.	"How often do you kill your ducks?"
J1309.3.	"Where did dirt go when canal was dug?"
J1310.	Repartee concerning wine.
J1311.	What is wanted, not what is asked.
J1312.	The watered wine.
J1312.1.	Serve the water and the wine separately.
J1312.2.	Washed in the Rhine.
J1312.3.	Baptized wine.
J1313.	Old wine.
J1314.	The road to Heaven.
J1315.	Points of view.
J1316.	Very small to be so old.
J1317.	Small jug preferred.
J1318.	Wine gives ambassador courage to address Pope.
J1319.	Repartee concerning wine--miscellaneous.
J1319.1.	Man says: "I do love my enemies and I have great affection for them that hurt me."
J1320.	Repartee concerning drunkenness.
J1321.	The unrepentant drunkard.
J1321.1.	Where did he get the wine?
J1321.2.	Though old woman is made to believe she is in hell she calls for drinking companions.
J1322.	The great thirst.
J1322.1.	Will take care of the thirst.
J1322.2.	Sleeping on salt.
J1323.	Should have brought him drink.
J1324.	Stung by the goblet.
J1330.	Repartee concerning beggars.
J1331.	Persistent beggar invited upstairs.
J1332.	Beggar wants bread.
J1333.	Prove me a liar.
J1334.	Beggar tells stingy to go beg.
J1337.	Beggar claims to be emperor's brother.
J1338.	Asking costs nothing.
J1340.	Retorts from hungry persons
J1341.	Retort from underfed servant (child).
J1341.1.	Softening bread-crusts.
J1341.2.	Asking the large fish.
J1341.3.	A dog to scent the rice.
J1341.4.	Two eggs.
J1341.5.	Hungry apprentice attracts master's attention by telling lies on him.
J1341.6.	Hungry shepherd attracts attention.
J1341.7.	Stingy innkeeper cured of serving weak beer.
J1341.8.	The little lumps of sugar are sweeter, says the hostess.
J1341.9.	Hungry son gets cherries.
J1341.10.	Hungry student gets meat.
J1341.11.	Hired men sing of displeasure with food; change song when food is improved
J1341.12.	Hired man shows in saying grace how better food has resulted from arrival of unexpected guests.
J1342.	Prayer over the underdone hen.
J1343.	The liking for food and drink.
J1343.1.	The best music.
J1343.2.	Before, during, and after.
J1344.	Unwelcome guest tells about the hidden food.
J1345.	Why he did not eat the bread.
J1346.	Maid rebukes pilgrim for eating too much.
J1350.	Rude retorts
J1351.	Women call each other prostitutes.
J1351.1.	Prostitutes wander.
J1351.2.	The envious accuser.
J1352.	Person calls another an ass.
J1352.1.	The burden of two asses.
J1352.2.	Age is relative.
J1353.	Whom it concerns.
J1354.	Not in his line of business.
J1355.	The one exception.
J1356.	The flatterer's retort.
J1357.	Ancient and modern ancestors.
J1358.	No thanks to the messenger.
J1361.	Monk says that he is a stallion.
J1363.	Too late for the same advice.
J1364.	To be rewarded by his kind.
J1369.	Rude retorts--miscellaneous.
J1369.1.	Man decides to spend 100 florins to become known.
J1369.2.	The prodigy's retort.
J1369.3.	Two men meet in narrow passage.
J1369.4.	Person asks: "Whose fool are you?" Answer: "I am the Bishop of Durham's fool; whose fool are you?" England: *Baughman.
J1369.5.	Why soldier is silent before king: is always so when questioned by stupid person.
J1370.	Cynical retorts concerning honesty.
J1371.	The account-book of mistakes.
J1373.	Safe since no white man is near.
J1380.	Retorts concerning debts.
J1381.	Where you got it last year.
J1382.	Payers of cash favored.
J1382.1.	The one to blow the whistle.
J1382.2.	The weighted order-cards.
J1383.	Unstable security.
J1384.	A three thousand year old debt.
J1390.	Retorts concerning thefts.
J1391.	Thief makes a lame excuse.
J1391.1.	Thief's excuse: the big wind.
J1391.2.	The ladder market.
J1391.3.	The sheep's teeth.
J1391.3.1.	Bitten by the sheep.
J1391.4.	How he would act if he were a hawk.
J1391.5.	Fox pretends that he has been to the farmyard only to see if any of his kindred were there.
J1391.6.	Lame excuse: one cannot drink because he has no teeth.
J1391.7.	Were merely measuring cup.
J1391.8.	Needles and anchors.
J1392.	Owner assists thief.
J1392.1.	Thief followed home.
J1392.2.	Robbers commiserated.
J1392.2.1.	Owner advises thieves to return later.
J1392.3.	Cynic helps robber steal his money so he and robber can get sleep.
J1392.4.	Owner laughs at thief who finds nothing in house.
J1392.5.	Bridegroom promises thief spoils later if he will not interfere with wedding.
J1393.	The double fool.
J1394.	Thieves' nocturnal habits.
J1394.1.	Night study.
J1394.2.	Man who rises too early.
J1395.	Was going to give it to him any way.
J1396.	Removing chance for worry.
J1397.	The cost price recovered.
J1398.	Compliments from the hangman.
J1399.	Retorts concerning thefts--miscellaneous.
J1399.1.	The Lord has Risen.
J1400.	Repartee concerning false reform.
J1401.	The tailor's dream.
J1410.	Repartee concerning fatness.
J1411.	The hay wagon and the gate.
J1420.	Animals retort concerning their dangers.
J1421.	Peace among the animals.
J1422.	Good bath.
J1423.	Roast falcon.
J1424.	Where the foxes will meet.
J1430.	Repartee concerning doctors and patients.
J1431.	I know not how.
J1432.	No physician at all.
J1433.	"Do as I say and not as I do."
J1434.	Strenuous cure for madness.
J1438.	Veterinarian becomes doctor.
J1440.	Repartee--miscellaneous.
J1441.	God of the earth.
J1442.	A cynic's retorts.
J1442.1.	The cynic wants sunlight.
J1442.1.1.	Cynic praises power of reason.
J1442.2.	The cynic at the bath.
J1442.3.	The cynic and the pale gold.
J1442.4.	The cynic's burial.
J1442.4.1.	Cynic asks that his body be exposed to the elements.
J1442.5.	The cynic as judge of wine.
J1442.6.	The cynic and the big gates.
J1442.7.	The cynic and the bastard stone-thrower.
J1442.8.	The cynic discusses heaven.
J1442.9.	The cynic and the bald-headed man.
J1442.10.	The cynic and the deceiver.
J1442.11.	The cynic and the fig tree.
J1442.11.1.	The cynic's wish.
J1442.12.	Cynic is asked if widower should remarry.
J1442.13.	The smallest woman makes the best bride.
J1443.	The fools in the city.
J1444.	They gave it away themselves.
J1445.	The forgotten traditions.
J1446.	Aaron's censer.
J1447.	The favored swine.
J1448.	The contagious yawns.
J1451.	Who gets the beehive.
J1452.	Why he was thin.
J1453.	It's better to fight in the shade.
J1454.	The lion and the statue.
J1455.	Has never died yet.
J1456.	The liar.
J1457.	The gray fox.
J1458.	An oath to break oaths.
J1461.	The cause of grayness.
J1462.	Customary suits.
J1463.	A long beard and sanctity.
J1465.	Trumpeter's false defense.
J1467.	Must drink from the common cup.
J1467.1.	Sailor prays for gods to sink ship during storm, since gods never do what they are asked to do.
J1468.	Not in good form.
J1471.	The eunuch's defense.
J1472.	The fairest thing in the garden.
J1473.	The greedy dreamer.
J1473.1.	The 999 gold pieces.
J1474.	The fatal bed.
J1475.	Is ready to go.
J1476.	The proud hide humbled.
J1477.	Demonstrate here.
J1478.	Husband and wife burn their mouths.
J1478.1.	The abbot burns his mouth.
J1481.	As you surely will.
J1482.	Keeping the secret.
J1483.	Repartee concerning runaway horses.
J1483.1.	King and jester flee: the king's swift horse.
J1483.2.	Where his mule will.
J1483.3.	Storms on land.
J1483.4.	"Why didn't you stay on the horse?"
J1484.	The sound of shaving.
J1485.	Mistaken identity.
J1485.1.	Husband mistaken for lover in bed.
J1486.	Listening to the debate.
J1487.	Progress in school.
J1488.	What the bear whispered in his ear.
J1491.	Artist paints too few birds.
J1492.	Trickster artist hoodwinks king: cuckold's eyes cannot see picture.
J1493.	Daydreamer has lost his chance for profit.
J1494.	Why captain takes lame and one-eyed soldiers into army.
J1495.	Person runs from actual or supposed ghost.
J1495.1.	Man runs from actual or from supposed ghost.
J1495.2.	When Caleb comes.
J1500.	Clever practical retort.
J1510.	The cheater cheated.
J1511.	A rule must work both ways.
J1511.1.	Make-believe eating, make-believe work.
J1511.2.	Turnips called bacon: cat called rabbit.
J1511.2.1.	Man bathing rich man uses sand instead of sandalwood: "Consider the sand of the Ganges to be sandalwood."
J1511.3.	Eating cure becomes epidemic.
J1511.4.	Fits become epidemic.
J1511.5.	The wine-spilling host rebuked.
J1511.6.	The porter's revenge for the three wise counsels.
J1511.7.	No clothes needed for Day of Judgment.
J1511.8.	Forbidden to think.
J1511.9.	Master says that he has eyes in back of head: servant cheats him.
J1511.10.	Counterfeit money burned up.
J1511.11.	Boy pretends to speak only Latin.
J1511.12.	The man in place of a watch-dog.
J1511.13.	Oisin's poor diet in Patrick's house--pancake size of ivy leaf, measure of butter only size of rowan berry.
J1511.14.	Things on highway belong to the public.
J1511.15.	Can drink only one kind of wine at a time.
J1511.16.	"Eat spiritual food, not material,"
J1511.17.	Ox bought; buyer also claims load of wood attached.
J1511.18.	Priests say dying woman's unfulfilled request for mangoes must be paid in golden mangoes to them.
J1511.19.	Wife surrendered to king.
J1511.20.	Goldsmith sells thinly plated gold; peasant retaliates: a pot of dirt with a little gyav on top.
J1512.	Impossible demand rebuked.
J1512.1.	Milk from the hornless cow.
J1512.2.	To return the eye to the one-eyed man.
J1513.	Healed with his own medicine.
J1513.1.	"If he does not live, let him die."
J1515.	You lead and I will follow: hard command thus evaded.
J1515.1.	The father of an illegitimate child must walk in front of the cross.
J1516.	Rogues exchange objects and cheat each other.
J1517.	Thieves deceived by prearranged conversation which they overhear.
J1517.1.	Overheard conversation: "Mustard has advanced in price."
J1517.2.	Overheard conversation: "Money hidden in wall (field)."
J1517.3.	Overheard conversation: "My money is hanging in the tree."
J1521.	Swindler's plans foiled.
J1521.1.	The shoes carried into the tree.
J1521.2.	The old man nods "Yes".
J1521.2.1.	Clever wife of king's adopted son keeps king distracted on deathbed so that he cannot disinherit husband.
J1521.3.	Command would become permanent.
J1521.4.	Unjust oath countered by another.
J1521.5.	Catching by words.
J1521.5.1.	Bargain: to render service for "something".
J1522.	Rebuke to the stingy.
J1522.1.	Half price for half a shave.
J1522.2.	Stingy man rebuked when his children are feasted in his absence.
J1525.	Poor girl outwits prince in fright-contest.
J1526.	Soldier's practical retort to officer.
J1526.1.	Officer disarmed by sentry.
J1527.	Dream answered by dream.
J1530.	One absurdity rebukes another
J1531.	Borrower's absurdities.
J1531.1.	The transformed golden pumpkin.
J1531.1.1.	Mill has given birth to horse.
J1531.2.	The iron-eating mice.
J1531.2.1.	The dog-eating bugs.
J1531.3.	The pot has a child and dies.
J1532.	Adulteress's absurdity rebuked.
J1532.1.	The Snow-Child.
J1533.	Absurdities concerning birth of animals, or men.
J1534.	Deer captured in bird-net: water flows upstream.
J1536.	Ruler's absurdity rebuked.
J1536.1.	Absurdity of entrusting military mission to bishop.
J1536.2.	Absurdity of trying to convert king to Hinduism--like making cow of donkey or black dog into white.
J1539.	One absurdity rebukes another--miscellaneous.
J1539.1.	Priest forbidden to have female servant ostentatiously washes his own clothes.
J1539.2.	Scholar given third egg.
J1540.	Retorts between husband and wife
J1541.	Husband outwits his wife.
J1541.1.	The good words.
J1541.1.1.	Sharing joy and sorrow.
J1541.2.	The flute makes more noise.
J1541.3.	Woman repulses ugly husband's advances.
J1541.4.	Husband and wife separate and divide property.
J1545.	Wife outwits her husband.
J1545.1.	Will work when beaten.
J1545.2.	Four men's mistress.
J1545.3.	Fault-finding husband nonplussed.
J1545.3.1.	Which does the more work.
J1545.3.2.	Where are the shoes?
J1545.3.3.	Man who continually threatens to leave wife mortified when she tells him to go;
J1545.4.	The exiled wife's dearest possession.
J1545.4.1.	The besieged women's dearest possession.
J1545.5.	Husband tells wife in indecent posture to "lock up shop".
J1545.6.	Wife by cleverness wins back fortune overbearing husband has foolishly lost and humbles him.
J1545.7.	Clever laughter and response of wife stops husband from fondling maid.
J1545.8.	Corpse to be cut in two for easy carrying.
J1545.9.	Wife shows deep water.
J1546.	Overcurious wife learns of the senate's deliberations.
J1550.	Practical retorts: borrowers and lenders.
J1551.	Imaginary debt and payment.
J1551.1.	Imagined intercourse, imagined payment.
J1551.2.	Imagined penance for imagined sin.
J1551.3.	Singer repaid with promise of reward: words for words.
J1551.4.	Directions for getting pay given in return for directions for healing.
J1551.5.	Substitute for candle repaid with substitute for money.
J1551.6.	The hare at third remove.
J1551.7.	Imagined ownership: derived from a dream.
J1551.8.	Imagined color.
J1551.9.	Half of money thrown into tank.
J1551.10.	The priest administers to a man sick with infectious disease.
J1551.11.	"Here is half of picture and you must imagine other half."
J1552.	Loans refused.
J1552.1.	The ass consulted about the loan.
J1552.1.1.	The ass is not at home.
J1552.1.1.1.	The bigger fool.
J1552.2.	Three reasons for refusing credit.
J1552.3.	Man refuses to lend horse: sued for consequent damages.
J1552.4.	Better to donate half of what is asked than lend all.
J1556.	Lender repays borrower for deceptive loan.
J1556.1.	Borrower of butter receives pot of cowdung with little butter on top:
J1559.	Miscellaneous retorts concerning borrowing and lending.
J1559.1.	A present or a retaining fee.
J1559.2.	God as surety; the abbot pays.
J1559.3.	Too large a payment.
J1560.	Practical retorts: hosts and guests.
J1561.	Inhospitality repaid.
J1561.1.	Clothes thrown into the cooking food.
J1561.2.	Inhospitable host punished for hospitality.
J1561.3.	Welcome to the clothes.
J1561.3.1.	Poor suitor served good supper prepared for rich one.
J1561.4.	Servant repays stingy master (mistress).
J1561.4.1.	Hostess says that she has no spoons.
J1561.4.2.	The boy "loses his sight."
J1561.5.	Father causes inhospitable daughter to spoil her feast by deceptive advice about cooking.
J1561.6.	A box connection.
J1561.7.	Grace said in name of the host.
J1562.	The greedy host.
J1562.1.	Turning the plate around.
J1562.2.	The peasant's share is the chicken.
J1562.3.	Host hides meat in his clothing.
J1563.	Treatment of difficult guests.
J1563.1.	The guest who could not keep warm.
J1563.2.	Guests make impossible demands of host: host's representative forces guests to leave by sending them on difficult quest.
J1563.3.	Bread baked with onions for an undesirable guest.
J1563.4.	Proper food for ox and ass.
J1563.5.	Guests frightened away by housewife.
J1563.5.1.	Wife prepares the pestle.
J1563.5.2.	Servants touch cooking pot.
J1563.6.	When hints do not get rid of unwelcome guests, force must be used.
J1563.7.	A sham fight to frighten away the guests.
J1563.8.	Priest frightens away parasitic guests.
J1564.	Talker keeps person from eating.
J1564.1.	Trickster's interrupted feast revenged.
J1564.2.	Revenge by interrupting feast.
J1565.	Inappropriate entertainment repaid.
J1565.1.	Fox and crane invite each other.
J1565.2.	Bugs unable to eat honey at banquet of bees, and bees unable to eat dung at bug's dinner.
J1565.3.	Crop division between parrot and cat: they try to cheat each other by inviting to a dinner in turns every day.
J1566.	Luxury of host rebuked.
J1566.1.	Philosopher spits in king's beard.
J1566.2.	Ruler refuses hospitality from subject who spends more than he earns.
J1573.	Host rebukes negligent servant.
J1573.1.	A step-ladder for setting the table.
J1575.	Guest brings along cakes to eat.
J1575.1.	Suitor brings own lamp.
J1576.	"Cause liberality to be depicted."
J1577.	Deceptive invitation to feast.
J1577.1.	Inviting to a feast only those whose households have never been touched by death.
J1580.	Practical retorts connected with almsgiving.
J1581.	Stingy almsgiving repaid.
J1581.1.	Poem for poem: all for all.
J1581.2.	Reinforcement of the request for alms.
J1582.	Base money in the offering.
J1582.1.	The penny baked in the wafer.
J1582.2.	Sulphur in the censer.
J1583.	Interested only in his capital.
J1593.	Any boon desired.
J1600.	Practical retorts--miscellaneous.
J1601.	How much the ass cost.
J1602.	Throw at a rich man.
J1603.	Eyes treated for the stomach ache.
J1604.	The fish in the sleeve.
J1605.	One wrong and five hundred good deeds.
J1606.	Two monks renew their appetites.
J1606.1.	Hungry man eats intestines of fish next morning after refusing to do so the evening before.
J1607.	The testament of the dog.
J1608.	Ass's charter in his hoof.
J1611.	The stolen meat and the weighed cat.
J1612.	The lazy ass repaid in kind.
J1613.	The rescuers' Sabbath.
J1614.	The forehanded servant.
J1615.	That which was promised him.
J1616.	St. Peter not guiltless.
J1617.	God's omniscience.
J1618.	The one word petition.
J1621.	Sharing his wounds.
J1622.	The blacksmith's and the horse-trader's dreams.
J1623.	Drunkard cured of seeing double.
J1624.	The priest makes the omen come true.
J1625.	Armies like seeds and peppercorns.
J1626.	The sound of the harp.
J1627.	To give the accounting afterward.
J1628.	Taking cold in effigy.
J1631.	An expensive joke.
J1632.	The minstrel repays the cobbler.
J1633.	Brotherly love and patience both dead.
J1634.	To follow the king.
J1635.	Robber gives priest double his penance and then takes his horse.
J1636.	He has a family to support.
J1638.	Sticking to the rules.
J1647.	Priest asked to preach short sermon does so saying to congregation only that they are wicked.
J1648.	Do not start here.
J1651.	The abbot cannot find his needle.
J1652.	Kissing the mother first.
J1653.	Using the lamb to get an audience.
J1655.	Clever ways of concealing jewels (treasure).
J1655.1.	Jewels concealed in cowdung cakes.
J1655.2.	Valuable rubies baked in bread.
J1655.3.	Coins concealed in jar of oil (pickles).
J1661.	Clever deductions.
J1661.1.	Deductions from observation.
J1661.1.1.	Deduction: the one-eyed camel.
J1661.1.1.1.	Deduction: the camel ridden by a pregnant woman.
J1661.1.2.	Deduction: the king is a bastard.
J1661.1.2.1.	Deduction: magistrate is a bastard.
J1661.1.3.	Deduction: bread made by a sick woman.
J1661.1.4.	Deduction: mare has she-buffalo as mother.
J1661.1.5.	Deduction: horse has been brought up on ass's milk.
J1661.1.5.1.	Deduction: animal has been brought up on dog's milk.
J1661.1.6.	Deduction: insect inside precious stone.
J1661.1.7.	Deduction: prince plays with children because he has been denied a normal youth.
J1661.1.8.	Deduction: one-eyed, long-bearded thief is named Kale Khan.
J1661.1.9.	Banker able to recognize honest merchant by a single hair of his mustache.
J1661.1.10.	Clever deduction of wise man: the theft of a cauldron detected.
J1661.2.	Clever deductions by eating, smelling, drinking, etc.
J1661.3.	Person describes approaching bands of warriors without recognizing them.
J1662.	The cat's only trick.
J1662.1.	One basket of wit better than twelve carloads of it.
J1664.	Clever solution of debated question.
J1664.1.	Which is coldest season?
J1671.	The inventive coachman.
J1672.	Clever use of human weakness.
J1675.	Clever dealing with a king.
J1675.1.	Clever ways of attracting the king's attention.
J1675.1.1.	King's attention attracted by fighting when it cannot be otherwise gained.
J1675.1.2.	Unjust action brought to inform king of judge's malfeasance.
J1675.2.	Clever ways of breaking bad news to a king, who will kill bearer of bad tidings.
J1675.2.1.	Tidings brought to the king: You said it, not I.
J1675.3.	King's capriciousness censured: the ass in the stream.
J1675.4.	One-eyed king has rocks counted on pain of death.
J1675.5.	Abbot gives king unique concert.
J1675.6.	Poet goes to king to complain of destruction of his dwelling.
J1675.7.	Clever hero feigns dullness so as to avenge himself on king.
J1675.8.	Son of God to see king.
J1678.	Settling the dispute.
J1682.	Taunts of charioteer to rouse anger in master (who is losing battle) so that he may fight more vigorously.
J1684.	Poet uses words which student cannot understand and so confounds him.
J1700.	Fools
J1701.	Stupid wife.
J1701.1.	Extravagant woman whose husband continually finds fault with her.
J1702.	Stupid husband.
J1703.	Town (country) of fools.
J1705.	Stupid classes.
J1705.1.	Stupid peasant.
J1705.2.	Stupid (ignorant) Brahmin.
J1705.3.	Foolish pundits.
J1705.4.	Foolish king.
J1706.	Stupid animals.
J1706.1.	Tiger as stupid beast.
J1710.	Association with fools.
J1711.	Numskulls go a-travelling.
J1711.1.	Animals helpless in sea-voyage together.
J1712.	Numskulls quarrel over a greeting.
J1713.	Foolish married couples.
J1713.1.	How he knew she was baking cakes.
J1714.	Association of wise men with fools.
J1714.1.	A wise man follows a fool against his better judgment.
J1714.2.	The wise man and the rain of fools.
J1714.3.	When with fools, act foolish.
J1714.3.1.	Forty wise men foretell violent rainstorm.
J1714.4.	Author believes that his book must be stupid.
J1714.5.	Old man silent in king's presence asks king what he himself does when in company with a fool.
J1715.	A fool objects to fools as companions.
J1717.	Three silly pundits sent to a raja as the two-footed cattle he had demanded.
J1730.	Absurd ignorance.
J1730.1.	Hero does not learn his name until after first adventure.
J1731.	The city person ignorant of the farm.
J1731.1.	The city girl: Do turnips grow in the ground or on trees?
J1731.2.	Man wants roasted honeycomb.
J1732.	Ignorance of certain foods.
J1732.1.	Fool unacquainted with sausage.
J1732.2.	Fool is unacquainted with bananas, throws away the fruit, finds the rest bitter.
J1732.3.	Woman is unacquainted with tea, serves the boiled leaves with butter.
J1733.	Why the pigs shriek.
J1734.	Layman's ignorance of medicine.
J1734.1.	Urine diagnosis to tell where a man comes from.
J1735.	Fool cannot tell his right hand in the dark.
J1735.1.	How to tell the right hand in the dark.
J1736.	Fools and the unknown animal.
J1736.1.	Fools do not know what a crayfish is.
J1736.2.	Fools do not know what an owl is and attack it.
J1736.3.	Unknown animal: a pig captured in a pit.
J1737.	Foolish lover ignorant of mistress's flaws.
J1737.1.	Foolish lover does not know that his mistress lacks an eye.
J1738.	Ignorance of religious matters.
J1738.1.	Ignorant priest forces rolls of cloth instead of bread down a dying man's throat.
J1738.2.	Living crucifix chosen.
J1738.3.	Numskulls surprised at news that God has a son.
J1738.4.	Numskulls surprised to hear that God's son has died.
J1738.5.	Standing up for the friendless.
J1738.6.	Letting in the light.
J1738.7.	Ignorant people told religious holiday is coming the next day: camel appears and is feasted.
J1738.8.	Men hide so that God will not see their sin.
J1741.	Priests (schoolmasters) ignorant of Latin.
J1741.1.	Evangelium secundum Pergamum.
J1741.2.	"Agnus dei" as a prayer for money.
J1741.3.	Prearranged answers in Latin not always successful.
J1741.3.1.	Stupid scholar memorizes set answers to oral examination in Latin.
J1742.	The countryman in the great world.
J1742.1.	Countryman expects to find persons from his own village when he travels to another land.
J1742.2.	His address: a big high house.
J1742.3.	Peasants in city inn order whole portion of mustard.
J1742.3.1.	Countryman visiting rich relative in the city refuses to eat dessert: "No, I am not hungry."
J1742.4.	Peasant surprised that king is not larger than other men.
J1742.5.	Countryman misunderstands comforts of city.
J1742.5.1.	Boy who has never seen a real carpet, hops around the side of the room to avoid stepping on the cloth on the floor.
J1743.	Ignorance of dates.
J1743.1.	All sins since the birth of Christ.
J1743.2.	Family do not realize that Lent has arrived until it is Palm Sunday.
J1743.3.	Wash Bee Day.
J1744.	Ignorance of marriage relations.
J1744.1.	Bridegroom does not know what to do on his wedding night.
J1744.1.1.	Bridegroom gets into bed.
J1745.	Absurd ignorance of sex.
J1745.1.	Fool cannot tell sex of nudes, since they have no clothes on.
J1745.2.	Foolish girl ignorant of what is happening at her first menses.
J1746.	Ignorance of reading.
J1746.1.	Fool weeps each time he reads a book to see how small letters have become: at school they were big and fat.
J1747.	The archbishop's wife and family.
J1748.	Absurd ignorance of the use of spectacles.
J1749.	Absurd ignorance--miscellaneous.
J1749.1.	Fool thinks that "aforesaid" is a title of honor.
J1749.2.	Ignorant notary cannot draw up document.
J1750.	One animal mistaken for another.
J1751.	Dungbeetle thought to be bee.
J1752.	Wolf thought to be colt.
J1753.	Bear thought to be dog.
J1754.	Ass thought to be hare.
J1755.	Earthworm thought to be snake (or other monster).
J1756.	Other animals thought to be a giant cat.
J1757.	Rabbit thought to be a cow.
J1758.	Tiger (lion, etc.) mistaken for domestic animal.
J1758.1.	Tiger mistaken for goat.
J1758.1.1.	Fool rides tiger thinking it to be a big male-goat.
J1758.2.	Tiger thought to be dog.
J1758.3.	Tiger mistaken for ass.
J1758.4.	Thief mistakes leopard for calf (ass).
J1758.5.	Lion thought to be donkey: drunkard rides it.
J1758.5.1.	Thief thinks lion is horse.
J1758.6.	Stupid husband mistakes tiger-cubs for jungle cats despite wife's judgment.
J1759.	Other mistaken animals.
J1759.1.	Scotsman thinks moose is a mouse, asks what rats look like in this country.
J1759.2.	Hunter mistakes louse on his eyelash for game.
J1759.3.	Numskull thinks fireflies are mosquitoes carrying lanterns to find victims.
J1759.4.	Bull mistaken for horse.
J1759.4.1.	Calf mistaken for colt.
J1759.5.	Cat's tail mistaken for worm.
J1760.	Animal or person mistaken for something else.
J1761.	Animal thought to be object.
J1761.1.	Whale thought to be island.
J1761.1.1.	Turtle thought to be an island.
J1761.1.2.	Serpent is taken for island.
J1761.2.	White mare thought to be church.
J1761.3.	Glowworm thought to be a fire.
J1761.4.	Fish thought to be chewed sugar-cane.
J1761.5.	Wolf thought to be log of wood.
J1761.6.	Snake thought to be flute.
J1761.6.1.	Snake mistaken for a whip by a blind man.
J1761.7.	Living toad or beetles thought to be lost food and therefore eaten by numskulls.
J1761.8.	Man mistakes dragon for log, sits on it.
J1761.9.	Bear mistaken for a floating log (blanket).
J1761.10.	Blind men and elephant.
J1761.11.	Fool mistakes dung-beetles for fruit: eats them.
J1762.	Animal thought to be a person.
J1762.0.1.	Animals mistaken for messengers.
J1762.1.	Goose mistaken for a tailor.
J1762.1.2.	Crab mistaken for tailor.
J1762.2.	Bear on haywagon (on horse) thought to be the preacher.
J1762.2.1.	The bear mistaken for a saint.
J1762.3.	Crab caught on tiger's tail thought to be pursuing man.
J1762.4.	Deer thought to be man with basket on head.
J1762.5.	Bees (wasps) mistaken for Jutlanders, etc.
J1762.6.	Dressed up monkey thought to be a nobleman.
J1762.7.	Lobsters mistaken for Norwegians.
J1762.8.	Bear mistaken for a foreigner.
J1762.9.	Foolish wife believes goats' heads are human heads.
J1763.	Person thought to be an object.
J1763.1.	Small priest covered with large hat thought to be a hat.
J1763.2.	Girl mistaken for stone.
J1763.3.	Sleeping soldier thought to be recumbent statue in chapel.
J1765.	Person thought to be animal.
J1765.1.	Shepherd taken to be she-ass.
J1765.2.	Man taken to be sheep.
J1766.	One person mistaken for another.
J1766.1.	Horsemen thought to be men mounted on cattle.
J1769.	Other creatures with mistaken identity.
J1769.1.	Giant thought to be a hill.
J1769.2.	Dead man is thought to be alive.
J1769.2.1.	Dead mistaken for the living.
J1769.3.	Fool lays his hand on demon in the dark, believing it is male goat he has come to steal.
J1770.	Objects with mistaken identity
J1771.	Object thought to be animal.
J1771.1.	Big tree thought to be snake.
J1771.2.	Old sausage (roll) taken for frightening animal.
J1771.3.	Object thought to be a turkey.
J1771.4.	Bush thought to be elephant.
J1771.5.	Island thought to be large dog.
J1772.	One object thought to be another.
J1772.1.	Pumpkin thought to be an ass's egg.
